########################################################################################
#SPTpol TT, EE, and TE bandpowers and bandpower errors.
#Data presented in Table 2 of Henning et al., 2017.
#No calibration or beam uncertainty is included.
#
#Columns are (1) ell_min, (2) ell_max
#(3) TT ell_center, (4) TT in D_ell [uK^2], (5) TT error in D_ell [uK^2]
#(6) EE ell_center, (7) EE in D_ell [uK^2], (8) EE error in D_ell [uK^2]
#(9) TE ell_center, (10) TE in D_ell [uK^2], (11) TE error in D_ell [uK^2]
#
#Generated 2017/06/22
########################################################################################
50.0	100.0	75.8	1341.6	469.8	75.8	0.4	0.1	76.0	-7.0	5.5	
100.0	150.0	124.5	5187.0	530.8	124.8	1.0	0.2	124.7	-53.6	7.5	
150.0	200.0	174.7	4785.2	588.8	174.7	0.7	0.1	174.7	-36.7	6.6	
200.0	250.0	224.6	6397.1	639.4	224.6	0.7	0.2	224.6	24.9	6.5	
250.0	300.0	274.5	4226.3	447.3	274.6	4.4	0.5	274.6	92.0	12.1	
300.0	350.0	324.5	3551.0	298.2	324.5	15.3	1.2	324.5	142.4	14.0	
350.0	400.0	374.5	1767.6	167.4	374.5	20.9	1.6	374.5	38.2	11.5	
400.0	450.0	424.4	1941.2	142.4	424.5	16.8	1.4	424.5	-33.5	10.3	
450.0	500.0	474.5	2157.1	151.3	474.5	11.1	0.8	474.5	-61.4	8.7	
500.0	550.0	524.5	2634.1	164.8	524.4	7.1	0.5	524.5	-33.6	6.2	
550.0	600.0	574.5	2349.0	144.5	574.6	12.2	0.9	574.5	10.9	7.9	
600.0	650.0	624.4	2102.6	125.3	624.5	29.9	1.7	624.5	10.2	9.9	
650.0	700.0	674.5	1903.2	108.7	674.5	38.2	2.2	674.5	-62.0	11.3	
700.0	750.0	724.5	2143.2	109.3	724.5	33.7	1.8	724.5	-122.4	10.6	
750.0	800.0	774.6	2466.3	128.9	774.5	20.4	1.1	774.5	-124.8	9.6	
800.0	850.0	824.5	2555.5	131.7	824.4	11.7	0.7	824.5	-48.1	7.8	
850.0	900.0	874.5	2160.0	111.1	874.5	18.4	0.9	874.5	31.6	7.4	
900.0	950.0	924.5	1556.4	81.2	924.5	28.2	1.7	924.5	45.2	8.1	
950.0	1000.0	974.5	1301.6	61.6	974.5	39.8	1.8	974.5	12.0	7.9	
1000.0	1050.0	1024.5	1062.9	53.9	1024.5	36.3	1.8	1024.5	-64.4	7.4	
1050.0	1100.0	1074.5	1161.7	56.9	1074.5	25.4	1.3	1074.5	-69.7	6.4	
1100.0	1150.0	1124.5	1228.0	58.0	1124.4	13.8	0.8	1124.5	-49.2	5.0	
1150.0	1200.0	1174.6	1152.2	51.6	1174.4	13.0	0.6	1174.5	-14.7	4.0	
1200.0	1250.0	1224.5	902.7	39.8	1224.5	20.5	1.0	1224.5	12.5	4.3	
1250.0	1300.0	1274.5	773.8	33.0	1274.5	29.0	1.3	1274.5	-19.0	4.4	
1300.0	1350.0	1324.4	695.6	32.2	1324.5	30.0	1.3	1324.5	-46.8	4.7	
1350.0	1400.0	1374.4	724.8	31.4	1374.5	22.5	1.0	1374.5	-54.8	4.0	
